rank,word,count,zipf
298,universität,141,42018
299,größten,140,41860
300,selten,139,41700
301,tod,139,41839
302,genannt,138,41676
303,alten,138,41814
304,i,138,41952
305,gehört,138,42090
306,kommen,136,41616
307,anfang,136,41752
308,fall,136,41888
309,ging,136,42024
310,bilden,136,42160
311,welt,135,41985
312,möglich,135,42120
313,müssen,134,41942
314,sprachen,134,42076
315,seines,133,41895
316,zudem,133,42028
317,deutlich,132,41844
318,stand,132,41976
319,gebiet,132,42108
320,soll,132,42240
321,entwickelte,132,42372
322,eher,131,42182
323,lassen,131,42313
324,darunter,131,42444
325,lässt,131,42575
326,gauck,131,42706
327,sollte,130,42510
328,u,129,42312
329,schwerin,129,42441
330,februar,128,42240
331,geht,128,42368
332,ball,128,42496
333,friedrich,126,41958
334,marino,126,42084
335,hohen,125,41875
336,beginn,125,42000
337,erhielt,125,42125
338,zurück,124,41912
339,ihnen,124,42036
340,hin,124,42160
341,geschichte,124,42284
342,mehreren,124,42408
343,schließlich,124,42532
344,folge,123,42312
345,berlin,123,42435
346,politische,123,42558
347,ca,122,42334
348,könig,122,42456
349,etwas,122,42578
350,anzahl,122,42700
351,weltweit,122,42822
352,cargolifter,122,42944
353,konnten,121,42713
354,sogar,121,42834
355,bodensee,121,42955
356,österreich,120,42720
357,gegensatz,120,42840
358,politischen,120,42960
359,ländern,119,42721
360,entstand,118,42480
361,europäischen,118,42598
362,staat,118,42716
363,dagegen,117,42471
364,teile,117,42588
365,kilometer,117,42705
366,somit,116,42456
367,fand,116,42572
368,neu,116,42688
369,einfluss,116,42804
370,blieb,116,42920
371,zeigt,116,43036
372,ehemaligen,116,43152
373,stellen,116,43268
374,frauen,116,43384
375,preußen,116,43500
376,d,115,43240
377,wenige,115,43355
378,wilhelm,114,43092
379,habe,114,43206
380,stehen,113,42940
381,stellte,113,43053
382,personen,113,43166
383,ob,113,43279
384,kleinen,112,43008
385,einzelnen,112,43120
386,internationale,112,43232
387,republik,111,42957
388,rahmen,111,43068
389,bremer,111,43179
390,ravensburg,111,43290
391,norden,110,43010
392,führen,110,43120
393,name,110,43230
394,wort,110,43340
395,berliner,110,43450
396,reihe,109,43164
397,tag,109,43273
398,sogenannten,109,43382
399,süden,109,43491
400,m,109,43600
401,hauptsächlich,108,43308
402,grenze,108,43416
403,weit,108,43524
404,ort,108,43632
405,schweiz,107,43335
406,sechs,107,43442
407,grund,107,43549
408,statt,107,43656
409,region,106,43354
410,werk,105,43050
411,setzte,105,43155
412,trat,105,43260
413,fernsehen,105,43365
414,sudan,105,43470
415,pest,104,43160
416,doch,104,43264
417,recht,104,43368
418,wichtige,104,43472
419,beträgt,104,43576
420,ii,104,43680
421,h,104,43784
422,jeder,104,43888
423,entstanden,103,43569
424,liegen,103,43672
425,ibm,103,43775
426,allgemeinen,102,43452
427,frankreich,102,43554
428,km,101,43228
429,relativ,101,43329
430,sohn,101,43430
431,führt,101,43531
432,beide,101,43632
433,inflation,101,43733
434,solche,100,43400
435,wichtigsten,100,43500
436,hilfe,100,43600
437,teilen,100,43700
438,verwendung,100,43800
439,parteien,99,43461
440,außerdem,99,43560
441,gemeinde,99,43659
442,zweite,99,43758
443,dadurch,99,43857
444,wert,99,43956
445,system,98,43610
446,zusammenhang,98,43708
447,erhalten,98,43806
448,lag,98,43904
449,liste,98,44002
450,bau,98,44100
451,hohe,97,43747
452,krieg,97,43844
453,kamen,97,43941
454,zehn,97,44038
455,gruppe,97,44135
456,bestehen,97,44232
457,einführung,97,44329
458,mitglieder,97,44426
459,länge,97,44523
460,befinden,97,44620
461,wein,97,44717
462,mauer,97,44814
463,scientology,97,44911
464,wenig,96,44544
465,ebenso,96,44640
466,heißt,96,44736
467,politik,96,44832
468,indem,96,44928
469,anteil,96,45024
470,irak,96,45120
471,frühen,95,44745
472,vollständig,95,44840
473,anderer,95,44935
474,bildet,95,45030
475,freien,95,45125
476,richtung,94,44744
477,außerhalb,94,44838
478,viel,94,44932
479,macht,94,45026
480,ursprünglich,94,45120
481,entwickelt,94,45214
482,g,94,45308
483,städte,94,45402
484,indischen,94,45496
485,lang,93,45105
486,nachdem,93,45198
487,kaum,93,45291
488,mindestens,93,45384
489,einwohner,93,45477
490,zahlreichen,92,45080
491,großer,92,45172
492,handelt,92,45264
493,bisher,92,45356
494,mittels,92,45448
495,besitzen,92,45540
496,erfolgt,92,45632
497,höhe,91,45227
498,lage,91,45318
499,jede,91,45409
500,werdendie,90,45000
501,deshalb,90,45090
502,sieben,90,45180
503,folgende,90,45270
504,e,89,44856
505,spielen,89,44945
506,weltkrieg,89,45034
507,hälfte,89,45123
508,spieler,89,45212
509,filme,89,45301
510,italien,88,44880
511,straße,88,44968
512,universitäten,88,45056
513,zuvor,88,45144
514,aires,88,45232
515,portugiesische,88,45320
516,isar,88,45408
517,vater,87,44979
518,stelle,87,45066
519,erreicht,87,45153
520,sitz,87,45240
521,westen,87,45327
522,deutschlands,87,45414
523,weg,86,44978
524,ließ,86,45064
525,gleichen,86,45150
526,ziel,86,45236
527,bestimmte,86,45322
528,zunehmend,86,45408
529,verfassung,86,45494
530,weiterhin,85,45050
531,euro,85,45135
532,weiterer,85,45220
533,darüber,85,45305
534,gesamte,85,45390
535,satz,85,45475
536,see,85,45560
537,portugiesischen,85,45645
538,erde,84,45192
539,weise,84,45276
540,verbindung,84,45360
541,erster,84,45444
542,nahm,84,45528
543,bild,84,45612
544,stellt,84,45696
545,größe,84,45780
546,länder,84,45864
547,entweder,84,45948
548,la,84,46032
549,john,84,46116
550,zellen,84,46200
551,mal,83,45733
552,artikel,83,45816
553,ausschließlich,83,45899
554,kultur,83,45982
555,perl,83,46065
556,buenos,83,46148
557,potsdamer,83,46231
558,arbeit,82,45756
559,jahres,82,45838
560,parlament,82,45920
561,letzte,82,46002
562,lediglich,82,46084
563,china,82,46166
564,bundesrepublik,82,46248
565,betrieb,82,46330
566,peine,82,46412
567,denn,81,45927
568,zusätzlich,81,46008
569,bündnis,81,46089
570,überwiegend,81,46170
571,insel,81,46251
572,größere,81,46332
573,schnell,81,46413
574,joyce,81,46494
575,französischen,80,46000
576,musste,80,46080
577,spanien,80,46160
578,kleine,79,45662
579,erneut,79,45741
580,acht,79,45820
581,sodass,79,45899
582,gruppen,79,45978
